TableHeader	TableRow	ObjectType	Table_description	Primary_Key	
OACT	ACT1	01	G/L Accounts	AcctCode	
OCRD	CRD1	02	Business Partner	CardCode	
ODSC	DSC1	03	Bank Codes	AbsEntry	
OITM	ITM1	04	Items	ItemCode	
OVTG	VTG1	05	Tax Definition	Code	
OPLN	PLN1	06	Price Lists	ListNum	
OSPP	SPP1	07	Special Prices	CardCode, ItemCode	
OITG	ITG1	08	Item Properties	ItmsTypCod	
ORTM	RTM1	09	Rate Differences	LineNum, IsSysCurr	
OCRG	CRG1	10	Card Groups	GroupCode	
OCPR	CPR1	11	Contact Persons	CntctCode	
OUSR	USR1	12	Users	USERID	
OINV	INV1	13	A/R Invoice	DocEntry	
ORIN	RIN1	14	A/R Credit Memo	DocEntry	
ODLN	DLN1	15	Delivery	DocEntry
ORDN	RDN1	16	Returns	DocEntry	
ORDR	RDR1	17	Sales Order	DocEntry	
OPCH	PCH1	18	A/P Invoice	DocEntry	
ORPC	RPC1	19	A/P Credit Memo	DocEntry	
OPDN	PDN1	20	Goods Receipt PO	DocEntry	
ORPD	RPD1	21	Goods Return	DocEntry	
OPOR	POR1	22	Purchase Order	DocEntry	
OQUT	QUT1	23	Sales Quotation	DocEntry	
ORCT	RCT1	24	Incoming Payment	DocEntry	
ODPS	DPS1	25	Deposit	DeposId	
OMTH	MTH1	26	Reconciliation History	MthAcctCod, IsInternal, MatchNum	
OCHH	CHH1	27	Check Register	CheckKey	
OBTF	BTF1	28	Journal Voucher Entry	BatchNum, TransId	
OBTD	BTD1	29	Journal Vouchers List	BatchNum	
OJDT	JDT1	30	Journal Entry	TransId	
OITW	ITW1	31	Items – Warehouse	ItemCode, WhsCode	
OADP	ADP1	32	Print Preferences	PrintId	
OCLG	CLG1	33	Activities	ClgCode	
ORCR	RCR1	34	Recurring Postings	RcurCode, Instance	
ONNM	NNM1	35	Document Numbering	ObjectCode, DocSubType	
OCRC	CRC1	36	Credit Cards	CreditCard	
OCRN	CRN1	37	Currency Codes	CurrCode	
OIDX	IDX1	38	CPI Codes	IdexCode	
OADM	ADM1	39	Administration	Code	
OCTG	CTG1	40	Payment Terms	GroupNum	
OPRF	PRF1	41	Preferences	FormNumber, UserSign	
OBNK	BNK1	42	External Bank Statement Received	AcctCode, Sequence	
OMRC	MRC1	43	Manufacturers	FirmCode	
OCQG	CQG1	44	Card Properties	GroupCode	
OTRC	TRC1	45	Journal Entry Codes	TrnsCode	
OVPM	VPM1	46	Outgoing Payments	DocEntry	
OSRL	SRL1	47	Serial Numbers	ItemCode, SerialNum	
OALC	ALC1	48	Loading Expenses	AlcCode	
OSHP	SHP1	49	Delivery Types	TrnspCode	
OLGT	LGT1	50	Length Units	UnitCode	
OWGT	WGT1	51	Weight Units	UnitCode	
OITB	ITB1	52	Item Groups	ItmsGrpCod	
OSLP	SLP1	53	Sales Employee	SlpCode	
